video_id,user_unique_id,openness,conscientiousness,extroversion,agreeableness,neuroticism,suspect
7.06974E+18,doodlestash,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06837E+18,deemdamn,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.96032E+18,.military_content,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0547E+18,javontaethereporter,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06852E+18,rhocky_16,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08732E+18,ronaytatay,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06794E+18,goattmeall,Low,High,High,Normal/Low,Low/Medium,Medium/Low
7.06498E+18,ziksine,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07866E+18,djadamgeorge,Medium/High,High,Medium,Low,Medium/Low,Medium/Low
7.08417E+18,usanavy_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06944E+18,kalebandri,Low/Medium,High/Medium,High/Medium,High,Medium/Low,Low/Medium
7.06859E+18,master_yoh_asakura,Medium/Low,Medium/High,Medium,Low,Medium/Low,Medium/High
7.06862E+18,.brecourt,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05569E+18,aaron50150,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.94695E+18,natonato2021,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06507E+18,bburgerttv,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08312E+18,militarypicts,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.10102E+18,pro_war02,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06559E+18,masonmjr,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08918E+18,official__world_news,Low/Medium,Medium,Medium/Low,Low,Medium/Low,Low/Medium
7.069E+18,kalebandri,Medium/Low,High/Medium,Medium,Low,Medium/Low,Medium/Low
7.06918E+18,hathanh1283,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07347E+18,boyyboii,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06906E+18,laminaprod,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07152E+18,imban_,High,Medium/Low,Medium,Low,High/Medium,High/Medium
7.08212E+18,ukwarriors,High,Low/Medium,Low/Medium,Low,Medium/Low,Low/Medium
7.05724E+18,tunesunknown,Low/Medium,High,Medium,Normal/Low,Low,Medium/High
7.04344E+18,_ksk_77,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09727E+18,militarypicts,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06785E+18,imban_,High/Medium,High,Medium,Low/Normal,High,Medium/High
7.06877E+18,cbenne803,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06043E+18,e..r..m..a..l,Low,Low,Low,Low,Low,Low
7.05679E+18,romanian_arm,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06929E+18,imban_,Medium/High,Medium/Low,Medium,Low,Medium/High,High/Medium
7.06847E+18,king.spirs,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0311E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07959E+18,expertnews_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06821E+18,tselpakaimaskerrrrr,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07873E+18,thesulaiman,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08426E+18,obitoakatsuki_26,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09496E+18,_secangkir_kopi_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06902E+18,migsye,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07005E+18,sayaislam010,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07365E+18,michaelbernardi10,High,High/Medium,Medium/Low,Normal,Medium,Medium/High
7.06833E+18,.military.newss,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0472E+18,president.putin.fanpage,Medium/High,Low/Medium,Low/Medium,Low,High/Medium,High/Medium
7.06858E+18,harimaudefensegrup,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.00271E+18,yahoonews,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08734E+18,ronaytatay,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09273E+18,ervesto77,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06826E+18,military_thingz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.99738E+18,philippine_military,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0842E+18,boyyboii,Low/Medium,Low/Medium,Low/Medium,Low,Medium/Low,Low/Medium
7.07132E+18,johnstone.gregory,Medium/High,Medium/High,Low/Medium,Low/Normal,Low/Medium,Medium
7.06695E+18,gerardoveramx,Medium/Low,Medium/High,Low/Medium,Low,Medium/High,Medium/High
6.89014E+18,afggerways,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06964E+18,rahmangoroo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06897E+18,bijakhalu_97,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06642E+18,noxxiria,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06834E+18,vila.de.conde,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05846E+18,dana_utmb,Low,Low,Low,Low,Medium/Low,Low
7.08925E+18,permata_asia,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06895E+18,hurremqueenn,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0692E+18,melodystanfordmartin,Medium/Low,Medium/Low,Medium/High,Normal,Medium/High,High
6.95924E+18,military_tik_tok,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.95734E+18,ukmilitary.2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.937E+18,aviatonbraaat,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0388E+18,mauriciovalentinoti,High/Medium,High/Medium,Medium,Low,Low/Medium,Low/Medium
7.06934E+18,lang_032,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09657E+18,operator1.1,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06387E+18,dominionofcanada,High/Medium,High/Medium,Low,Low,Low,Low
7.06874E+18,saveahorserideascooter,Medium/Low,High/Medium,High/Medium,Low,Low/Medium,Low/Medium
6.9957E+18,airforce_fighter.edz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06949E+18,sankalacomputer,High/Medium,Low,Low,Low,High/Medium,High/Medium
7.06015E+18,nikbarbieri,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07102E+18,morriganamber,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06859E+18,_vzgerald_02,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06325E+18,nikbarbieri,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06879E+18,athibadee.k,Low,High/Medium,High/Medium,Normal,Medium/Low,Medium/High
7.11089E+18,hailbritannia,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.98399E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07002E+18,imban_,Medium/High,High,Medium,Low,High/Medium,High
7.04062E+18,military_facts.de,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06861E+18,itsmeexodousofficial,Low/Medium,Low,Low,Low/Normal,Medium/Low,Low
7.07027E+18,vervicity,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06121E+18,justvideos91,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07042E+18,yge532,Low/Medium,High/Medium,High,Low,Low,Low
7.0682E+18,ronaldgaudence27,Medium/Low,Medium/High,Medium/High,Low,Medium/High,Medium/High
7.06838E+18,unpopularnotes,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06989E+18,americandiplomat,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08652E+18,kokosowy_kokosss,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.92089E+18,natonato2021,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07132E+18,jneric,Low,Medium,Medium,Low,Low/Medium,Low/Medium
7.06994E+18,duckychulo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06845E+18,bestofvideoscom,Medium/Low,Medium/Low,High,Low,Medium/High,Medium/High
7.06905E+18,mzamankhanbunerwal5599,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05006E+18,world_army112,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.03568E+18,kokosowy_kokosss,Low/Medium,Medium,High,Normal,Low/Medium,Medium/High
7.05901E+18,military_thingz,Medium/Low,Medium/Low,Medium/Low,Low,Medium,Medium/Low
7.06935E+18,ale.lando,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06359E+18,thehistorylegends,Medium/High,High/Medium,Medium,Low,Medium/Low,Medium/Low
7.06009E+18,italianarmedforces,High/Medium,High/Medium,Medium,Normal,Low,Medium/High
7.06761E+18,francoiseballetblu,Medium/High,Medium,Medium,Low,Medium/High,Medium/High
7.05405E+18,svinteam,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07264E+18,kayscho,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.8342E+18,hari_stress,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07536E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.974E+18,deinanwalt,Medium/Low,Medium/High,High,Normal/Low,Medium/High,Medium/Low
6.98654E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06857E+18,kayscho,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08346E+18,crafts_cosplay24,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07206E+18,snizhanaliubov,High,High,High,Low,Low,Low
7.06865E+18,muhb1r,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06893E+18,follow_grow2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04615E+18,randomlife80,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06933E+18,r1.tkck,Low,Low,Low,Low,Medium/High,Low
7.07872E+18,dziennikarskieshooty,High,High,High,Low,High,Medium/Low
7.06465E+18,.plxzz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.98407E+18,...ranger_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.99977E+18,datehistory,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06894E+18,yassir881,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07123E+18,banluanchinhtri88,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06753E+18,follow4_content,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06987E+18,mr.magicx,Medium/High,High/Medium,High,Normal/Low,Low/Medium,Medium/Low
7.0683E+18,1tkeepsgettingworse,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06851E+18,atoadja,Medium/Low,High/Medium,Medium,Low,High/Medium,Medium/High
7.06871E+18,presetgaming01,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07075E+18,herrenblume,Low,Low,Low,Low,Low/Medium,Low
7.06877E+18,kiranandnivi,Low,Medium/High,Medium,Low,Medium/Low,Low/Medium
7.06826E+18,oliviamaeyoungg,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06564E+18,_ksk_77,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06848E+18,truyenhinhvov,Low,Low/Medium,Low/Medium,Low,Medium/Low,Low/Medium
7.06903E+18,onurcancamm,High/Medium,Medium/Low,Low/Medium,Normal/High,Medium/High,Medium/Low
7.09144E+18,historyfellow,Low/Medium,Medium/High,High/Medium,High,Low/Medium,Medium/Low
7.06014E+18,abcnews,High/Medium,High,High,High/Normal,Medium/High,Low/Medium
7.06468E+18,president.putin.fanpage,Low/Medium,Medium,Medium,Low/Normal,High/Medium,High/Medium
6.89244E+18,afggerways,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0685E+18,cm8memes,Low/Medium,Medium/High,High,Low,Medium/Low,Low
7.06925E+18,t_e_m_p_l_a_r_1096,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0758E+18,kosovoarmy_fsk,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06999E+18,snoopy.vn,Medium/High,High/Medium,Medium/Low,Low,High,Medium/Low
7.06577E+18,noticiasasicasual,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06883E+18,lili_yavorski,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0568E+18,alinchiforej,Medium,Medium/High,High,Low,Medium/Low,Medium/High
6.94915E+18,wy_pr,High/Medium,High,High,Normal/High,Medium/Low,Low/Medium
7.06847E+18,leary78,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08536E+18,global.reng,Medium/High,High,High,Low,Low/Medium,Medium/Low
7.06092E+18,santonaci09,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05783E+18,francoiseballetblu,Medium/High,High/Medium,High,Low,Medium/High,Medium/Low
7.0861E+18,beritainfoid,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09269E+18,king_franko17,Medium/Low,Low/Medium,High,Normal,Low,Medium/High
7.07358E+18,0splash7,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06928E+18,akantuka007,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06091E+18,davinci_62,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06963E+18,imban_,Medium/High,High/Medium,Medium,Low,High/Medium,High/Medium
7.06882E+18,tayontherox,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07237E+18,dno.dna,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06852E+18,truyenhinhvov,Medium/Low,Low/Medium,Low/Medium,Normal/Low,Medium/Low,Medium/Low
7.06939E+18,skynews,High,Low/Medium,Low,Low,High/Medium,Medium/Low
7.06835E+18,damnedhistory,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04685E+18,randomlife80,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06978E+18,jxsh.3921,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.95371E+18,daily.military.news,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0702E+18,actualidadrt,Medium/High,Low,Low,Low,Medium/High,Medium/Low
7.07897E+18,kugisaki_nb,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05468E+18,javontaethereporter,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06943E+18,superhanns,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.1103E+18,ruzzia02,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07425E+18,dasmandia,Low/Medium,Low,Medium,Low,Medium/Low,Medium/Low
7.05752E+18,anarchistleek,Low,Medium/High,Medium/Low,Low,Low/Medium,Low
7.06763E+18,mashalla7234,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06095E+18,kully_52,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07463E+18,arthurturaev,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06024E+18,nikbarbieri,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06934E+18,good_bay_3,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08064E+18,ukwarriors,High/Medium,High/Medium,High,Normal/Low,Medium/High,Medium/Low
7.11028E+18,heyexperloe,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09412E+18,tekhas_thasuke_witko,Medium/Low,Low,High,Normal/Low,Low/Medium,Medium/Low
7.00417E+18,specialforcedotcom,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08621E+18,ervesto77,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08763E+18,fighter_jets21,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06211E+18,linfo_Medium,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06941E+18,giaitritt0,Low,High,High,Low,Medium,Low/Medium
6.99001E+18,dominionofcanada,High,Medium,High,Normal/Low,Medium/Low,Medium/High
7.06463E+18,rosariocolorito,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04748E+18,russian..military,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06578E+18,rafaelkizarov,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06759E+18,bigboywills,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07168E+18,arthurturaev,Low/Medium,Medium,High/Medium,High,Low,Medium/Low
7.06941E+18,wrongchusj,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07894E+18,love83724,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.10169E+18,._.lboy,Low,Low,Low,Low,Medium/High,Low
7.06384E+18,t_sply,Medium/Low,Medium,High,Low,Low/Medium,Low/Medium
7.02301E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.96405E+18,special1force,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06843E+18,irishmilitarycontent,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08655E+18,the_v16,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06828E+18,htet.phyo.9469,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.00009E+18,dailymilitaryfacts2,Low,Low,Low/Medium,Low,Medium/Low,Low
7.07888E+18,xeeshankhan2020,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06849E+18,hana_nan_10,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06648E+18,president.putin.fanpage,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04326E+18,liam.dorey,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06864E+18,leary78,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08961E+18,24hcapnhat_giaitri,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.02754E+18,sturmlande,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06392E+18,military_f0rces,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06921E+18,h1lndedits,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05054E+18,oma.mitohren.schmaltz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
